"Notes"	"ICD Chapter"	"ICD Chapter Code"	"Cause of death"	"Cause of death Code"	"State"	"State Code"	Deaths	Population	Crude Rate
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Non-insulin-dependent diabetes mellitus, without complications"	"E11.9"	"Alabama"	"01"	187	4779736	3.9
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Non-insulin-dependent diabetes mellitus, without complications"	"E11.9"	"Alaska"	"02"	28	710231	3.9
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Non-insulin-dependent diabetes mellitus, without complications"	"E11.9"	"Arizona"	"04"	295	6392017	4.6
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Non-insulin-dependent diabetes mellitus, without complications"	"E11.9"	"Arkansas"	"05"	127	2915918	4.4
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Non-insulin-dependent diabetes mellitus, without complications"	"E11.9"	"California"	"06"	2122	37253956	5.7
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Non-insulin-dependent diabetes mellitus, without complications"	"E11.9"	"Colorado"	"08"	125	5029196	2.5
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Non-insulin-dependent diabetes mellitus, without complications"	"E11.9"	"Connecticut"	"09"	122	3574097	3.4
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Non-insulin-dependent diabetes mellitus, without complications"	"E11.9"	"Delaware"	"10"	40	897934	4.5
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Non-insulin-dependent diabetes mellitus, without complications"	"E11.9"	"District of Columbia"	"11"	12	601723	Unreliable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Non-insulin-dependent diabetes mellitus, without complications"	"E11.9"	"Florida"	"12"	990	18801310	5.3
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Non-insulin-dependent diabetes mellitus, without complications"	"E11.9"	"Georgia"	"13"	317	9687653	3.3
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Non-insulin-dependent diabetes mellitus, without complications"	"E11.9"	"Hawaii"	"15"	36	1360301	2.6
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Non-insulin-dependent diabetes mellitus, without complications"	"E11.9"	"Idaho"	"16"	78	1567582	5.0
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Non-insulin-dependent diabetes mellitus, without complications"	"E11.9"	"Illinois"	"17"	441	12830632	3.4
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Non-insulin-dependent diabetes mellitus, without complications"	"E11.9"	"Indiana"	"18"	358	6483802	5.5
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Non-insulin-dependent diabetes mellitus, without complications"	"E11.9"	"Iowa"	"19"	205	3046355	6.7
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Non-insulin-dependent diabetes mellitus, without complications"	"E11.9"	"Kansas"	"20"	157	2853118	5.5
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Non-insulin-dependent diabetes mellitus, without complications"	"E11.9"	"Kentucky"	"21"	292	4339367	6.7
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Non-insulin-dependent diabetes mellitus, without complications"	"E11.9"	"Louisiana"	"22"	147	4533372	3.2
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Non-insulin-dependent diabetes mellitus, without complications"	"E11.9"	"Maine"	"23"	89	1328361	6.7
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Non-insulin-dependent diabetes mellitus, without complications"	"E11.9"	"Maryland"	"24"	168	5773552	2.9
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Non-insulin-dependent diabetes mellitus, without complications"	"E11.9"	"Massachusetts"	"25"	112	6547629	1.7
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Non-insulin-dependent diabetes mellitus, without complications"	"E11.9"	"Michigan"	"26"	568	9883640	5.7
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Non-insulin-dependent diabetes mellitus, without complications"	"E11.9"	"Minnesota"	"27"	237	5303925	4.5
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Non-insulin-dependent diabetes mellitus, without complications"	"E11.9"	"Mississippi"	"28"	54	2967297	1.8
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Non-insulin-dependent diabetes mellitus, without complications"	"E11.9"	"Missouri"	"29"	292	5988927	4.9
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Non-insulin-dependent diabetes mellitus, without complications"	"E11.9"	"Montana"	"30"	48	989415	4.9
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Non-insulin-dependent diabetes mellitus, without complications"	"E11.9"	"Nebraska"	"31"	107	1826341	5.9
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Non-insulin-dependent diabetes mellitus, without complications"	"E11.9"	"Nevada"	"32"	49	2700551	1.8
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Non-insulin-dependent diabetes mellitus, without complications"	"E11.9"	"New Hampshire"	"33"	46	1316470	3.5
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Non-insulin-dependent diabetes mellitus, without complications"	"E11.9"	"New Jersey"	"34"	268	8791894	3.0
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Non-insulin-dependent diabetes mellitus, without complications"	"E11.9"	"New Mexico"	"35"	153	2059179	7.4
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Non-insulin-dependent diabetes mellitus, without complications"	"E11.9"	"New York"	"36"	434	19378102	2.2
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Non-insulin-dependent diabetes mellitus, without complications"	"E11.9"	"North Carolina"	"37"	339	9535483	3.6
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Non-insulin-dependent diabetes mellitus, without complications"	"E11.9"	"North Dakota"	"38"	43	672591	6.4
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Non-insulin-dependent diabetes mellitus, without complications"	"E11.9"	"Ohio"	"39"	830	11536504	7.2
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Non-insulin-dependent diabetes mellitus, without complications"	"E11.9"	"Oklahoma"	"40"	297	3751351	7.9
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Non-insulin-dependent diabetes mellitus, without complications"	"E11.9"	"Oregon"	"41"	205	3831074	5.4
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Non-insulin-dependent diabetes mellitus, without complications"	"E11.9"	"Pennsylvania"	"42"	657	12702379	5.2
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Non-insulin-dependent diabetes mellitus, without complications"	"E11.9"	"Rhode Island"	"44"	28	1052567	2.7
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Non-insulin-dependent diabetes mellitus, without complications"	"E11.9"	"South Carolina"	"45"	168	4625364	3.6
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Non-insulin-dependent diabetes mellitus, without complications"	"E11.9"	"South Dakota"	"46"	34	814180	4.2
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Non-insulin-dependent diabetes mellitus, without complications"	"E11.9"	"Tennessee"	"47"	433	6346105	6.8
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Non-insulin-dependent diabetes mellitus, without complications"	"E11.9"	"Texas"	"48"	1009	25145561	4.0
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Non-insulin-dependent diabetes mellitus, without complications"	"E11.9"	"Utah"	"49"	89	2763885	3.2
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Non-insulin-dependent diabetes mellitus, without complications"	"E11.9"	"Vermont"	"50"	24	625741	3.8
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Non-insulin-dependent diabetes mellitus, without complications"	"E11.9"	"Virginia"	"51"	293	8001024	3.7
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Non-insulin-dependent diabetes mellitus, without complications"	"E11.9"	"Washington"	"53"	403	6724540	6.0
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Non-insulin-dependent diabetes mellitus, without complications"	"E11.9"	"West Virginia"	"54"	205	1852994	11.1
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Non-insulin-dependent diabetes mellitus, without complications"	"E11.9"	"Wisconsin"	"55"	249	5686986	4.4
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Non-insulin-dependent diabetes mellitus, without complications"	"E11.9"	"Wyoming"	"56"	24	563626	4.3
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Unspecified diabetes mellitus, with coma"	"E14.0"	"Arkansas"	"05"	11	2915918	Unreliable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Unspecified diabetes mellitus, with coma"	"E14.0"	"California"	"06"	27	37253956	0.1
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Unspecified diabetes mellitus, with coma"	"E14.0"	"Florida"	"12"	27	18801310	0.1
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Unspecified diabetes mellitus, with coma"	"E14.0"	"Illinois"	"17"	14	12830632	Unreliable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Unspecified diabetes mellitus, with coma"	"E14.0"	"Pennsylvania"	"42"	11	12702379	Unreliable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Unspecified diabetes mellitus, with coma"	"E14.0"	"South Carolina"	"45"	10	4625364	Unreliable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Unspecified diabetes mellitus, with coma"	"E14.0"	"Texas"	"48"	21	25145561	0.1
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Unspecified diabetes mellitus, with ketoacidosis"	"E14.1"	"Alabama"	"01"	33	4779736	0.7
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Unspecified diabetes mellitus, with ketoacidosis"	"E14.1"	"Arizona"	"04"	43	6392017	0.7
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Unspecified diabetes mellitus, with ketoacidosis"	"E14.1"	"Arkansas"	"05"	20	2915918	0.7
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Unspecified diabetes mellitus, with ketoacidosis"	"E14.1"	"California"	"06"	173	37253956	0.5
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Unspecified diabetes mellitus, with ketoacidosis"	"E14.1"	"Colorado"	"08"	25	5029196	0.5
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Unspecified diabetes mellitus, with ketoacidosis"	"E14.1"	"District of Columbia"	"11"	13	601723	Unreliable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Unspecified diabetes mellitus, with ketoacidosis"	"E14.1"	"Florida"	"12"	132	18801310	0.7
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Unspecified diabetes mellitus, with ketoacidosis"	"E14.1"	"Georgia"	"13"	48	9687653	0.5
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Unspecified diabetes mellitus, with ketoacidosis"	"E14.1"	"Illinois"	"17"	100	12830632	0.8
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Unspecified diabetes mellitus, with ketoacidosis"	"E14.1"	"Indiana"	"18"	22	6483802	0.3
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Unspecified diabetes mellitus, with ketoacidosis"	"E14.1"	"Kentucky"	"21"	16	4339367	Unreliable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Unspecified diabetes mellitus, with ketoacidosis"	"E14.1"	"Louisiana"	"22"	24	4533372	0.5
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Unspecified diabetes mellitus, with ketoacidosis"	"E14.1"	"Maryland"	"24"	38	5773552	0.7
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Unspecified diabetes mellitus, with ketoacidosis"	"E14.1"	"Massachusetts"	"25"	31	6547629	0.5
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Unspecified diabetes mellitus, with ketoacidosis"	"E14.1"	"Michigan"	"26"	63	9883640	0.6
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Unspecified diabetes mellitus, with ketoacidosis"	"E14.1"	"Minnesota"	"27"	30	5303925	0.6
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Unspecified diabetes mellitus, with ketoacidosis"	"E14.1"	"Mississippi"	"28"	17	2967297	Unreliable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Unspecified diabetes mellitus, with ketoacidosis"	"E14.1"	"Missouri"	"29"	47	5988927	0.8
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Unspecified diabetes mellitus, with ketoacidosis"	"E14.1"	"Nevada"	"32"	17	2700551	Unreliable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Unspecified diabetes mellitus, with ketoacidosis"	"E14.1"	"New Jersey"	"34"	46	8791894	0.5
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Unspecified diabetes mellitus, with ketoacidosis"	"E14.1"	"New Mexico"	"35"	18	2059179	Unreliable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Unspecified diabetes mellitus, with ketoacidosis"	"E14.1"	"New York"	"36"	97	19378102	0.5
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Unspecified diabetes mellitus, with ketoacidosis"	"E14.1"	"North Carolina"	"37"	53	9535483	0.6
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Unspecified diabetes mellitus, with ketoacidosis"	"E14.1"	"Ohio"	"39"	83	11536504	0.7
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Unspecified diabetes mellitus, with ketoacidosis"	"E14.1"	"Oklahoma"	"40"	14	3751351	Unreliable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Unspecified diabetes mellitus, with ketoacidosis"	"E14.1"	"Oregon"	"41"	24	3831074	0.6
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Unspecified diabetes mellitus, with ketoacidosis"	"E14.1"	"Pennsylvania"	"42"	71	12702379	0.6
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Unspecified diabetes mellitus, with ketoacidosis"	"E14.1"	"South Carolina"	"45"	43	4625364	0.9
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Unspecified diabetes mellitus, with ketoacidosis"	"E14.1"	"Tennessee"	"47"	50	6346105	0.8
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Unspecified diabetes mellitus, with ketoacidosis"	"E14.1"	"Texas"	"48"	160	25145561	0.6
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Unspecified diabetes mellitus, with ketoacidosis"	"E14.1"	"Virginia"	"51"	33	8001024	0.4
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Unspecified diabetes mellitus, with ketoacidosis"	"E14.1"	"Washington"	"53"	47	6724540	0.7
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Unspecified diabetes mellitus, with ketoacidosis"	"E14.1"	"Wisconsin"	"55"	28	5686986	0.5
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Unspecified diabetes mellitus, with renal complications"	"E14.2"	"Alabama"	"01"	62	4779736	1.3
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Unspecified diabetes mellitus, with renal complications"	"E14.2"	"Arizona"	"04"	61	6392017	1.0
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Unspecified diabetes mellitus, with renal complications"	"E14.2"	"Arkansas"	"05"	29	2915918	1.0
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Unspecified diabetes mellitus, with renal complications"	"E14.2"	"California"	"06"	356	37253956	1.0
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Unspecified diabetes mellitus, with renal complications"	"E14.2"	"Colorado"	"08"	47	5029196	0.9
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Unspecified diabetes mellitus, with renal complications"	"E14.2"	"Connecticut"	"09"	21	3574097	0.6
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Unspecified diabetes mellitus, with renal complications"	"E14.2"	"Florida"	"12"	198	18801310	1.1
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Unspecified diabetes mellitus, with renal complications"	"E14.2"	"Georgia"	"13"	71	9687653	0.7
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Unspecified diabetes mellitus, with renal complications"	"E14.2"	"Hawaii"	"15"	14	1360301	Unreliable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Unspecified diabetes mellitus, with renal complications"	"E14.2"	"Idaho"	"16"	12	1567582	Unreliable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Unspecified diabetes mellitus, with renal complications"	"E14.2"	"Illinois"	"17"	96	12830632	0.7
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Unspecified diabetes mellitus, with renal complications"	"E14.2"	"Indiana"	"18"	40	6483802	0.6
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Unspecified diabetes mellitus, with renal complications"	"E14.2"	"Iowa"	"19"	44	3046355	1.4
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Unspecified diabetes mellitus, with renal complications"	"E14.2"	"Kentucky"	"21"	37	4339367	0.9
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Unspecified diabetes mellitus, with renal complications"	"E14.2"	"Louisiana"	"22"	69	4533372	1.5
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Unspecified diabetes mellitus, with renal complications"	"E14.2"	"Maryland"	"24"	45	5773552	0.8
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Unspecified diabetes mellitus, with renal complications"	"E14.2"	"Massachusetts"	"25"	25	6547629	0.4
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Unspecified diabetes mellitus, with renal complications"	"E14.2"	"Michigan"	"26"	138	9883640	1.4
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Unspecified diabetes mellitus, with renal complications"	"E14.2"	"Minnesota"	"27"	43	5303925	0.8
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Unspecified diabetes mellitus, with renal complications"	"E14.2"	"Mississippi"	"28"	35	2967297	1.2
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Unspecified diabetes mellitus, with renal complications"	"E14.2"	"Missouri"	"29"	57	5988927	1.0
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Unspecified diabetes mellitus, with renal complications"	"E14.2"	"Montana"	"30"	12	989415	Unreliable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Unspecified diabetes mellitus, with renal complications"	"E14.2"	"Nebraska"	"31"	19	1826341	Unreliable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Unspecified diabetes mellitus, with renal complications"	"E14.2"	"Nevada"	"32"	11	2700551	Unreliable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Unspecified diabetes mellitus, with renal complications"	"E14.2"	"New Hampshire"	"33"	14	1316470	Unreliable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Unspecified diabetes mellitus, with renal complications"	"E14.2"	"New Jersey"	"34"	70	8791894	0.8
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Unspecified diabetes mellitus, with renal complications"	"E14.2"	"New Mexico"	"35"	26	2059179	1.3
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Unspecified diabetes mellitus, with renal complications"	"E14.2"	"New York"	"36"	108	19378102	0.6
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Unspecified diabetes mellitus, with renal complications"	"E14.2"	"North Carolina"	"37"	111	9535483	1.2
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Unspecified diabetes mellitus, with renal complications"	"E14.2"	"North Dakota"	"38"	10	672591	Unreliable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Unspecified diabetes mellitus, with renal complications"	"E14.2"	"Ohio"	"39"	168	11536504	1.5
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Unspecified diabetes mellitus, with renal complications"	"E14.2"	"Oklahoma"	"40"	26	3751351	0.7
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Unspecified diabetes mellitus, with renal complications"	"E14.2"	"Oregon"	"41"	49	3831074	1.3
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Unspecified diabetes mellitus, with renal complications"	"E14.2"	"Pennsylvania"	"42"	179	12702379	1.4
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Unspecified diabetes mellitus, with renal complications"	"E14.2"	"Rhode Island"	"44"	13	1052567	Unreliable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Unspecified diabetes mellitus, with renal complications"	"E14.2"	"South Carolina"	"45"	49	4625364	1.1
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Unspecified diabetes mellitus, with renal complications"	"E14.2"	"South Dakota"	"46"	10	814180	Unreliable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Unspecified diabetes mellitus, with renal complications"	"E14.2"	"Tennessee"	"47"	65	6346105	1.0
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Unspecified diabetes mellitus, with renal complications"	"E14.2"	"Texas"	"48"	203	25145561	0.8
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Unspecified diabetes mellitus, with renal complications"	"E14.2"	"Utah"	"49"	12	2763885	Unreliable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Unspecified diabetes mellitus, with renal complications"	"E14.2"	"Virginia"	"51"	59	8001024	0.7
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Unspecified diabetes mellitus, with renal complications"	"E14.2"	"Washington"	"53"	60	6724540	0.9
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Unspecified diabetes mellitus, with renal complications"	"E14.2"	"West Virginia"	"54"	32	1852994	1.7
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Unspecified diabetes mellitus, with renal complications"	"E14.2"	"Wisconsin"	"55"	55	5686986	1.0
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Unspecified diabetes mellitus, with neurological complications"	"E14.4"	"California"	"06"	20	37253956	0.1
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Unspecified diabetes mellitus, with neurological complications"	"E14.4"	"Florida"	"12"	12	18801310	Unreliable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Unspecified diabetes mellitus, with neurological complications"	"E14.4"	"New York"	"36"	13	19378102	Unreliable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Unspecified diabetes mellitus, with neurological complications"	"E14.4"	"North Carolina"	"37"	13	9535483	Unreliable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Unspecified diabetes mellitus, with neurological complications"	"E14.4"	"Ohio"	"39"	17	11536504	Unreliable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Unspecified diabetes mellitus, with neurological complications"	"E14.4"	"Pennsylvania"	"42"	16	12702379	Unreliable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Unspecified diabetes mellitus, with neurological complications"	"E14.4"	"Texas"	"48"	14	25145561	Unreliable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Unspecified diabetes mellitus, with neurological complications"	"E14.4"	"Virginia"	"51"	10	8001024	Unreliable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Unspecified diabetes mellitus, with peripheral circulatory complications"	"E14.5"	"Alabama"	"01"	52	4779736	1.1
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Unspecified diabetes mellitus, with peripheral circulatory complications"	"E14.5"	"Alaska"	"02"	10	710231	Unreliable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Unspecified diabetes mellitus, with peripheral circulatory complications"	"E14.5"	"Arizona"	"04"	55	6392017	0.9
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Unspecified diabetes mellitus, with peripheral circulatory complications"	"E14.5"	"Arkansas"	"05"	31	2915918	1.1
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Unspecified diabetes mellitus, with peripheral circulatory complications"	"E14.5"	"California"	"06"	306	37253956	0.8
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Unspecified diabetes mellitus, with peripheral circulatory complications"	"E14.5"	"Colorado"	"08"	33	5029196	0.7
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Unspecified diabetes mellitus, with peripheral circulatory complications"	"E14.5"	"Connecticut"	"09"	41	3574097	1.1
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Unspecified diabetes mellitus, with peripheral circulatory complications"	"E14.5"	"Florida"	"12"	232	18801310	1.2
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Unspecified diabetes mellitus, with peripheral circulatory complications"	"E14.5"	"Georgia"	"13"	79	9687653	0.8
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Unspecified diabetes mellitus, with peripheral circulatory complications"	"E14.5"	"Hawaii"	"15"	20	1360301	1.5
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Unspecified diabetes mellitus, with peripheral circulatory complications"	"E14.5"	"Idaho"	"16"	11	1567582	Unreliable
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Unspecified diabetes mellitus, with peripheral circulatory complications"	"E14.5"	"Illinois"	"17"	128	12830632	1.0
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Unspecified diabetes mellitus, with peripheral circulatory complications"	"E14.5"	"Indiana"	"18"	68	6483802	1.0
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Unspecified diabetes mellitus, with peripheral circulatory complications"	"E14.5"	"Iowa"	"19"	29	3046355	1.0
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Unspecified diabetes mellitus, with peripheral circulatory complications"	"E14.5"	"Kansas"	"20"	33	2853118	1.2
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Unspecified diabetes mellitus, with peripheral circulatory complications"	"E14.5"	"Kentucky"	"21"	49	4339367	1.1
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Unspecified diabetes mellitus, with peripheral circulatory complications"	"E14.5"	"Louisiana"	"22"	39	4533372	0.9
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Unspecified diabetes mellitus, with peripheral circulatory complications"	"E14.5"	"Maine"	"23"	20	1328361	1.5
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Unspecified diabetes mellitus, with peripheral circulatory complications"	"E14.5"	"Maryland"	"24"	68	5773552	1.2
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Unspecified diabetes mellitus, with peripheral circulatory complications"	"E14.5"	"Massachusetts"	"25"	51	6547629	0.8
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Unspecified diabetes mellitus, with peripheral circulatory complications"	"E14.5"	"Michigan"	"26"	99	9883640	1.0
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Unspecified diabetes mellitus, with peripheral circulatory complications"	"E14.5"	"Minnesota"	"27"	56	5303925	1.1
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Unspecified diabetes mellitus, with peripheral circulatory complications"	"E14.5"	"Mississippi"	"28"	26	2967297	0.9
	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"Unspecified diabetes mellitus, with peripheral circulatory complications"	"E14.5"	"Missouri"	"29"	74	5988927	1.2
