,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,United Nations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,2005132,EUROPE,,908,,"787,599","1,376,099","2,079,113","3,061,179","4,417,897","5,745,826","6,366,525","6,401,599","6,235,408","5,631,204","5,009,210","4,245,083","3,457,629","2,652,072","2,259,262","3,474,782","63,201,280","402,729","705,312","1,067,712","1,559,408","2,187,102","2,824,325","3,168,763","3,206,592","3,130,938","2,773,038","2,394,368","2,035,577","1,628,192","1,213,600","980,515","1,312,690","30,591,239","384,870","670,787","1,011,401","1,501,771","2,230,795","2,921,501","3,197,762","3,195,007","3,104,470","2,858,166","2,614,842","2,209,506","1,829,437","1,438,472","1,278,747","2,162,092","32,610,041",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,2005133,Eastern Europe,,923,,"181,077","281,427","598,422","1,030,936","1,308,530","1,454,076","1,582,549","1,745,508","1,915,020","1,883,261","1,761,912","1,549,674","1,297,339","971,151","839,544","1,346,966","19,747,392","92,175","144,055","306,765","526,760","670,345","743,608","806,543","879,349","948,883","916,010","837,965","713,799","572,061","402,391","319,858","482,226","9,362,793","88,902","137,372","291,657","504,176","638,185","710,468","776,006","866,159","966,137","967,251","923,947","835,875","725,278","568,760","519,686","864,740","10,384,599",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,2005134,Belarus,,112,B,"16,312","17,223","27,130","43,502","62,375","70,449","83,085","100,145","108,365","115,005","101,897","87,582","71,537","59,800","54,048","88,527","1,106,982","8,585","8,839","13,565","21,287","29,556","33,080","39,479","48,069","51,388","54,219","48,626","41,472","30,975","26,739","21,984","29,125","506,988","7,727","8,384","13,565","22,215","32,819","37,369","43,606","52,076","56,977","60,786","53,271","46,110","40,562","33,061","32,064","59,402","599,994",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,2005135,Bulgaria,,100,B,"2,129","2,280","1,901","3,021","5,486","4,224","3,933","4,543","4,548","4,572","4,496","3,460","3,713","3,219","3,788","5,761","61,074","1,101","1,239","1,006","1,605","3,073","2,118","1,922","2,121","1,877","1,578","1,437","1,134","1,281","1,363","1,472","2,267","26,594","1,028","1,041",895,"1,416","2,413","2,106","2,011","2,422","2,671","2,994","3,059","2,326","2,432","1,856","2,316","3,494","34,480",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,2005136,Czechia,,203,C,"2,749","4,559","5,628","9,149","20,552","35,159","40,846","38,934","34,995","30,193","26,763","20,368","16,911","12,793","9,778","13,163","322,540","1,497","2,476","3,058","4,868","11,326","19,917","24,119","23,477","21,028","17,387","15,370","11,414","9,313","6,868","4,506","5,095","181,719","1,252","2,083","2,570","4,281","9,226","15,242","16,727","15,457","13,967","12,806","11,393","8,954","7,598","5,925","5,272","8,068","140,821",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,2005137,Hungary,,348,B R,"5,110","7,602","10,831","14,218","25,250","29,929","34,785","31,766","30,381","23,541","22,113","27,191","22,283","21,721","19,322","40,744","366,787","2,662","4,002","5,691","7,424","12,976","14,678","17,586","16,231","15,492","11,700","10,599","12,806","9,960","9,566","7,969","14,874","174,216","2,448","3,600","5,140","6,794","12,274","15,251","17,199","15,535","14,889","11,841","11,514","14,385","12,323","12,155","11,353","25,870","192,571",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,2005138,Poland,,616,B,"33,759","18,598","15,014","13,625","11,138","10,132","12,004","12,254","12,577","16,066","18,563","64,353","75,771","115,648","94,164","198,843","722,509","16,173","8,788","6,971","6,303","5,167","4,676","5,525","5,716","6,034","7,799","8,782","28,559","32,221","46,875","35,864","71,586","297,039","17,586","9,810","8,043","7,322","5,971","5,456","6,479","6,538","6,543","8,267","9,781","35,794","43,550","68,773","58,300","127,257","425,470",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,2005139,Republic of Moldova,13,498,B,"9,951","6,789","2,171","3,787","7,829","8,869","8,252","8,175","10,164","15,104","18,806","19,869","14,589","10,898","12,957","15,747","173,957","5,339","3,582","1,138","1,966","4,026","4,510","4,108","3,905","4,675","6,747","8,263","8,448","5,944","4,213","4,536","5,200","76,600","4,612","3,207","1,033","1,821","3,803","4,359","4,144","4,270","5,489","8,357","10,543","11,421","8,645","6,685","8,421","10,547","97,357",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,2005140,Romania,,642,B,"12,598","4,090","3,085","5,424","7,871","7,709","7,134","6,538","5,749","4,527","3,616","7,142","12,444","14,762","13,368","29,105","145,162","6,187","2,003","1,508","2,422","3,774","3,782","3,998","4,100","3,765","2,876","2,171","3,500","5,414","6,037","5,199","9,528","66,264","6,411","2,087","1,577","3,002","4,097","3,927","3,136","2,438","1,984","1,651","1,445","3,642","7,030","8,725","8,169","19,577","78,898",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,2005141,Russian Federation,,643,B,"68,485","157,352","405,114","664,020","886,793","984,551","1,049,244","1,108,778","1,181,754","1,161,037","1,070,766","881,184","717,115","413,490","345,017","572,888","11,667,588","35,545","81,653","210,503","346,704","465,921","519,510","553,583","581,914","612,974","590,463","528,857","418,556","324,792","176,035","138,237","221,350","5,806,597","32,940","75,699","194,611","317,316","420,872","465,041","495,661","526,864","568,780","570,574","541,909","462,628","392,323","237,455","206,780","351,538","5,860,991",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,2005142,Slovakia,,703,B,"6,067","2,890","2,690","2,976","4,438","5,615","7,392","8,783","9,864","11,246","13,327","11,581","13,054","11,277","7,610","11,681","130,491","3,157","1,498","1,388","1,513","2,201","2,707","3,528","4,222","4,771","5,324","6,053","5,010","5,477","4,551","2,948","4,368","58,716","2,910","1,392","1,302","1,463","2,237","2,908","3,864","4,561","5,093","5,922","7,274","6,571","7,577","6,726","4,662","7,313","71,775",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,2005143,Ukraine,14,804,B,"23,917","60,044","124,858","271,214","276,798","297,439","335,874","425,592","516,623","501,970","481,565","426,944","349,922","307,543","279,492","370,507","5,050,302","11,929","29,975","61,937","132,668","132,325","138,630","152,695","189,594","226,879","217,917","207,807","182,900","146,684","120,144","97,143","118,833","2,168,060","11,988","30,069","62,921","138,546","144,473","158,809","183,179","235,998","289,744","284,053","273,758","244,044","203,238","187,399","182,349","251,674","2,882,242",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,2005144,Northern Europe,,924,,"151,639","269,796","338,170","419,611","724,765","1,030,275","1,063,013","960,752","883,863","772,755","674,897","548,278","471,020","393,125","352,629","534,226","9,588,814","75,693","134,584","168,305","206,649","352,487","491,757","521,629","474,517","439,699","377,161","323,408","252,697","214,587","180,672","152,947","197,621","4,564,413","75,946","135,212","169,865","212,962","372,278","538,518","541,384","486,235","444,164","395,594","351,489","295,581","256,433","212,453","199,682","336,605","5,024,401",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,2005145,Channel Islands,15,830,B,578,"1,164","1,719","2,772","4,537","6,278","7,314","7,384","7,171","6,961","6,511","5,680","4,652","2,261","2,058","3,901","70,941",296,624,894,"1,407","2,211","2,988","3,492","3,523","3,408","3,349","3,194","2,744","2,156","1,045",898,"1,382","33,611",282,540,825,"1,365","2,326","3,290","3,822","3,861","3,763","3,612","3,317","2,936","2,496","1,216","1,160","2,519","37,330",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,2005146,Denmark,,208,B,"8,077","14,534","19,621","25,528","43,115","51,283","51,034","48,295","43,351","35,986","28,323","21,379","16,214","12,448","8,384","12,811","440,383","4,050","7,160","9,792","12,643","20,533","23,899","24,335","23,800","22,063","18,605","14,428","10,594","7,730","5,950","3,553","3,962","213,097","4,027","7,374","9,829","12,885","22,582","27,384","26,699","24,495","21,288","17,381","13,895","10,785","8,484","6,498","4,831","8,849","227,286",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,2005147,Estonia,,233,B,991,"1,218","1,611","2,831","4,924","6,827","9,203","13,837","19,247","23,406","25,246","23,319","27,073","21,228","24,194","28,546","233,701",477,604,807,"1,410","2,406","3,329","4,378","6,470","8,836","10,476","11,087","9,893","10,945","7,908","8,138","7,080","94,244",514,614,804,"1,421","2,518","3,498","4,825","7,367","10,411","12,930","14,159","13,426","16,128","13,320","16,056","21,466","139,457",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,2005148,Faeroe Islands,,234,B,302,670,437,289,235,287,407,432,400,276,231,229,175,86,56,71,"4,583",155,356,221,162,125,147,225,232,215,155,130,136,101,35,30,25,"2,450",147,314,216,127,110,140,182,200,185,121,101,93,74,51,26,46,"2,133",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,2005149,Finland,16,246,B,"3,560","7,596","10,340","12,575","18,691","24,921","25,657","22,134","18,372","14,142","10,528","7,336","5,144","3,279","2,872","5,022","192,169","1,823","3,789","5,290","6,465","9,412","12,939","13,287","11,552","9,287","7,057","5,157","3,546","2,572","1,588","1,180","1,485","96,429","1,737","3,807","5,050","6,110","9,279","11,982","12,370","10,582","9,085","7,085","5,371","3,790","2,572","1,691","1,692","3,537","95,740",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,2005150,Iceland,,352,B,"1,015","1,362","1,461","1,633","2,674","3,576","3,252","2,752","2,140","1,731","1,314",867,576,356,298,485,"25,492",523,692,728,791,"1,274","1,747","1,654","1,398","1,080",884,674,430,250,124,83,81,"12,413",492,670,733,842,"1,400","1,829","1,598","1,354","1,060",847,640,437,326,232,215,404,"13,079",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,2005151,Ireland,,372,B,"20,372","34,320","37,567","28,088","54,219","73,546","81,052","69,656","52,243","33,428","27,570","22,899","17,646","12,432","9,759","14,249","589,046","10,367","17,740","19,263","14,030","27,345","39,671","44,525","38,212","28,405","18,059","14,689","11,765","8,785","6,197","4,801","6,056","309,910","10,005","16,580","18,304","14,058","26,874","33,875","36,527","31,444","23,838","15,369","12,881","11,134","8,861","6,235","4,958","8,193","279,136",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,2005152,Isle of Man,,833,B,424,"1,055","1,488","1,700","2,072","2,687","3,206","3,564","3,514","3,762","3,258","3,168","2,617","2,562","1,923","4,475","41,475",229,558,776,873,"1,031","1,321","1,595","1,780","1,748","1,888","1,647","1,591","1,226","1,223",863,"1,865","20,214",195,497,712,827,"1,041","1,366","1,611","1,784","1,766","1,874","1,611","1,577","1,391","1,339","1,060","2,610","21,261",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,2005153,Latvia,,428,B,"1,196","1,835","3,711","6,056","8,067","11,330","16,942","26,602","35,239","39,938","40,813","38,902","36,133","32,582","34,900","42,479","376,725",641,950,"1,925","3,116","4,064","5,611","8,174","12,422","16,057","17,806","17,900","16,458","14,524","12,228","11,890","10,979","154,745",555,885,"1,786","2,940","4,003","5,719","8,768","14,180","19,182","22,132","22,913","22,444","21,609","20,354","23,010","31,500","221,980",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,2005154,Lithuania,,440,B,"2,718","3,071","1,990","2,511","4,008","6,567","8,805","10,194","15,986","21,869","26,356","23,331","18,967","14,680","20,309","19,847","201,209","1,557","1,799","1,091","1,336","2,168","3,617","4,709","5,453","8,224","11,209","12,761","11,166","8,603","6,427","7,968","6,101","94,189","1,161","1,272",899,"1,175","1,840","2,950","4,096","4,741","7,762","10,660","13,595","12,165","10,364","8,253","12,341","13,746","107,020",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,2005155,Norway,17,578,B,"7,900","14,509","17,556","20,454","28,962","42,873","45,996","43,281","37,039","30,102","22,592","16,581","11,557","8,455","5,129","8,158","361,144","3,815","6,922","8,683","10,107","13,428","19,896","22,267","21,806","19,158","15,914","11,791","8,473","5,668","3,928","2,078","2,510","176,444","4,085","7,587","8,873","10,347","15,534","22,977","23,729","21,475","17,881","14,188","10,801","8,108","5,889","4,527","3,051","5,648","184,700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,2005156,Sweden,,752,B,"11,792","27,084","41,896","52,550","72,859","101,455","109,524","109,573","105,027","98,773","90,375","74,771","63,682","54,694","41,762","69,973","1,125,790","5,537","12,499","19,147","25,077","36,122","50,071","52,057","50,500","52,582","52,475","46,166","34,032","29,717","25,936","20,432","26,140","538,490","6,255","14,585","22,749","27,473","36,737","51,384","57,467","59,073","52,445","46,298","44,209","40,739","33,965","28,758","21,330","43,833","587,300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,2005157,United Kingdom,,826,B,"92,714","161,378","198,773","262,624","480,402","698,645","700,621","603,048","544,134","462,381","391,780","309,816","266,584","228,062","200,985","324,209","5,926,156","46,223","80,891","99,688","129,232","232,368","326,521","340,931","297,369","268,636","219,284","183,784","141,869","122,310","108,083","91,033","129,955","2,818,177","46,491","80,487","99,085","133,392","248,034","372,124","359,690","305,679","275,498","243,097","207,996","167,947","144,274","119,979","109,952","194,254","3,107,979",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,2005158,Southern Europe,,925,,"165,524","353,088","508,307","638,987","951,299","1,382,573","1,586,968","1,500,606","1,246,804","959,877","704,496","516,340","416,764","331,778","292,037","418,093","11,974,334","87,576","186,314","268,072","331,981","481,635","687,723","792,965","756,395","621,394","464,397","326,182","225,779","177,648","141,131","121,723","160,719","5,832,012","77,948","166,774","240,235","307,006","469,664","694,850","794,003","744,211","625,410","495,480","378,314","290,561","239,116","190,647","170,314","257,374","6,142,322",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,2005159,Albania,,8,B,"9,396","8,984","7,438","5,810","5,672","4,190","3,873","3,331","2,786","2,070","1,744","1,371","1,141","1,466","2,045","3,422","64,739","4,698","4,565","3,743","2,713","2,532","2,194","2,001","1,948","1,755","1,265","1,024",780,658,779,"1,027","1,311","32,993","4,698","4,419","3,695","3,097","3,140","1,996","1,872","1,383","1,031",805,720,591,483,687,"1,018","2,111","31,746",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,2005160,Andorra,,20,C,555,976,"1,152","1,486","2,789","4,831","5,450","5,540","5,540","4,978","3,903","3,376","2,551","1,888","1,645","3,638","50,298",274,488,578,740,"1,404","2,521","2,910","3,027","3,046","2,693","2,076","1,760","1,318","1,000",871,"1,853","26,559",281,488,574,746,"1,385","2,310","2,540","2,513","2,494","2,285","1,827","1,616","1,233",888,774,"1,785","23,739",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,2005161,Bosnia and Herzegovina,,70,I R,"2,313","2,334","2,272","2,225","2,923","4,491","5,255","4,735","3,946","3,387","3,012","2,650","2,357","1,996","1,810","1,566","47,272","1,277","1,281","1,237","1,165","1,420","2,053","2,372","2,176","1,831","1,583","1,413","1,245","1,061",900,786,673,"22,473","1,036","1,053","1,035","1,060","1,503","2,438","2,883","2,559","2,115","1,804","1,599","1,405","1,296","1,096","1,024",893,"24,799",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,2005162,Croatia,,191,B R,"3,140","9,160","17,170","22,536","29,092","35,248","42,918","52,900","55,136","56,560","53,070","45,956","46,262","37,566","33,786","38,773","579,273","1,612","4,655","8,765","11,502","14,341","16,754","20,587","25,195","26,335","26,952","25,204","21,964","21,677","17,542","14,846","13,714","271,645","1,528","4,505","8,405","11,034","14,751","18,494","22,331","27,705","28,801","29,608","27,866","23,992","24,585","20,024","18,940","25,059","307,628",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,2005163,Gibraltar,,292,B,741,683,589,474,644,875,"1,000",988,860,690,577,442,309,154,77,108,"9,211",322,285,253,216,316,416,472,480,442,368,323,256,179,89,45,56,"4,518",419,398,336,258,328,459,528,508,418,322,254,186,130,65,32,52,"4,693",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,2005164,Greece,,300,B,"14,658","32,693","50,550","73,944","118,040","151,550","152,819","144,003","118,830","89,901","66,167","45,533","33,044","23,782","21,155","54,038","1,190,707","7,073","16,096","25,504","37,613","60,756","78,615","82,429","77,559","61,587","44,036","29,940","18,963","13,501","9,191","7,597","17,217","587,677","7,585","16,597","25,046","36,331","57,284","72,935","70,390","66,444","57,243","45,865","36,227","26,570","19,543","14,591","13,558","36,821","603,030",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,2005165,Holy See,18,336,I,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,798,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,378,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,2005166,Italy,,380,B,"52,163","117,599","170,035","220,353","287,712","451,018","571,944","560,927","467,403","334,991","218,515","142,638","103,646","86,336","67,553","101,952","3,954,785","27,882","62,816","90,197","111,868","135,846","205,039","265,024","269,141","224,634","155,256","93,442","54,420","36,863","30,762","24,367","32,733","1,820,290","24,281","54,783","79,838","108,485","151,866","245,979","306,920","291,786","242,769","179,735","125,073","88,218","66,783","55,574","43,186","69,219","2,134,495",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,2005167,Malta,,470,B,358,704,"1,024","1,589","1,855","2,403","2,958","3,026","2,347","1,749","1,280","1,370","1,278",948,693,978,"24,560",170,342,519,805,921,"1,177","1,437","1,452","1,092",805,605,666,647,480,336,445,"11,899",188,362,505,784,934,"1,226","1,521","1,574","1,255",944,675,704,631,468,357,533,"12,661",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,2005168,Montenegro,,499,B,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
